,Title,Artist,Rank,name,album,artist,release_date,duration_ms,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,explicit
0,Blinding Lights,The Weeknd,1,Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,201573,22,0.513,0.00147,0.513,0.796,0.000209,0.0938,-4.075,0.0629,171.017,4,0.345,False
1,Circles,Post Malone,2,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,89,0.695,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4,0.553,False
2,The Box,Roddy Ricch,3,The Box,Please Excuse Me for Being Antisocial,Roddy Ricch,2019-12-06,196652,86,0.896,0.104,0.896,0.586,0.0,0.79,-6.687,0.0559,116.971,4,0.642,True
3,Don't Start Now,Dua Lipa,4,Don't Start Now,Don't Start Now,Dua Lipa,2019-10-31,183290,84,0.794,0.0125,0.794,0.793,0.0,0.0952,-4.521,0.0842,123.941,4,0.677,False
4,Rockstar,DaBaby Featuring Roddy Ricch,5,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,181733,86,0.746,0.247,0.746,0.69,0.0,0.101,-7.956,0.164,89.977,4,0.497,True
5,Adore You,Harry Styles,6,Adore You,Fine Line,Harry Styles,2019-12-13,207133,87,0.676,0.0237,0.676,0.771,7e-06,0.102,-3.675,0.0483,99.048,4,0.569,False
6,Life Is Good,Future Featuring Drake,7,Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,2020-01-10,237735,82,0.676,0.0706,0.676,0.609,0.0,0.152,-5.831,0.481,142.037,4,0.508,True
7,Memories,Maroon 5,8,Memories,Memories,Maroon 5,2019-09-20,189486,38,0.764,0.837,0.764,0.32,0.0,0.0822,-7.209,0.0546,91.019,4,0.575,False
8,The Bones,Maren Morris,9,The Bones,GIRL,Maren Morris,2019-03-08,197293,79,0.612,0.278,0.612,0.57,0.0,0.0963,-6.642,0.0347,77.004,4,0.334,False
9,Someone You Loved,Lewis Capaldi,10,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,89,0.501,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,109.891,4,0.446,False
10,Say So,Doja Cat,11,Say So,Hot Pink,Doja Cat,2019-11-07,237893,85,0.787,0.264,0.787,0.673,3.35e-06,0.0904,-4.583,0.159,110.962,4,0.779,True
11,I Hope,Gabby Barrett Featuring Charlie Puth,12,I Hope (feat. Charlie Puth),Goldmine,Gabby Barrett,2020-06-19,211605,69,0.563,0.171,0.563,0.576,0.0,0.158,-6.495,0.0401,75.019,4,0.412,False
12,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",13,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",Jack Harlow,2020-06-24,227478,81,0.904,0.0631,0.904,0.723,0.0,0.185,-5.224,0.26,145.013,4,0.835,True
13,Dance Monkey,Tones And I,14,Dance Monkey,Dance Monkey,Tones And I,2019-05-10,209754,68,0.826,0.688,0.826,0.593,0.000161,0.17,-6.401,0.0976,98.083,4,0.541,False
14,Savage,Megan Thee Stallion,15,Savage,Suga,Megan Thee Stallion,2020-03-06,155497,76,0.843,0.0252,0.843,0.741,0.0,0.096,-5.609,0.334,168.983,4,0.68,True
15,Roxanne,Arizona Zervas,16,ROXANNE,ROXANNE,Arizona Zervas,2019-10-10,163636,83,0.621,0.0522,0.621,0.601,0.0,0.46,-5.616,0.148,116.735,5,0.457,True
16,Intentions,Justin Bieber Featuring Quavo,17,Intentions (feat. Quavo),Changes,Justin Bieber,2020-02-14,212866,79,0.806,0.3,0.806,0.546,0.0,0.102,-6.637,0.0575,147.986,4,0.874,False
17,Everything I Wanted,Billie Eilish,18,everything i wanted,everything i wanted,Billie Eilish,2019-11-13,245425,85,0.704,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,120.006,4,0.243,False
18,Roses,SAINt JHN,19,Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,2019-10-09,176840,86,0.77,0.0167,0.77,0.724,0.0107,0.353,-5.484,0.0495,121.975,4,0.898,True
19,Watermelon Sugar,Harry Styles,20,Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,91,0.548,0.122,0.548,0.816,0.0,0.335,-4.209,0.0465,95.39,4,0.557,False
20,Before You Go,Lewis Capaldi,21,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2019-11-22,215106,87,0.459,0.604,0.459,0.575,0.0,0.0885,-4.858,0.0573,111.881,4,0.183,False
21,Falling,Trevor Daniel,22,Falling,Falling,Trevor Daniel,2018-10-05,159381,40,0.785,0.123,0.785,0.431,0.0,0.0887,-8.756,0.0364,127.085,4,0.236,False
22,"10,000 Hours",Dan + Shay & Justin Bieber,23,"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)",Dan + Shay,2019-10-04,167693,82,0.654,0.153,0.654,0.63,0.0,0.111,-4.644,0.0259,89.991,4,0.43,False
23,WAP,Cardi B Featuring Megan Thee Stallion,24,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,187541,86,0.935,0.0194,0.935,0.454,0.0,0.0824,-7.509,0.375,133.073,4,0.357,True
24,Ballin',Mustard & Roddy Ricch,25,Ballin' (with Roddy Ricch),Perfect Ten,Mustard,2019-06-28,180434,82,0.809,0.392,0.809,0.545,0.0,0.151,-6.678,0.0735,97.008,4,0.244,True
25,Hot Girl Bummer,blackbear,26,hot girl bummer,everything means nothing,blackbear,2020-08-21,188343,47,0.782,0.125,0.782,0.559,0.0,0.385,-7.106,0.0767,129.992,1,0.685,True
26,Blueberry Faygo,Lil Mosey,27,Blueberry Faygo,Blueberry Faygo,Lil Mosey,2020-02-07,162546,79,0.774,0.207,0.774,0.554,0.0,0.132,-7.909,0.0383,99.034,4,0.349,True
27,Heartless,The Weeknd,28,Heartless,After Hours,The Weeknd,2020-03-20,198266,80,0.537,0.0236,0.537,0.746,1.01e-06,0.156,-5.507,0.15,170.062,4,0.252,True
28,BOP,DaBaby,29,BOP,KIRK,DaBaby,2019-09-27,159714,81,0.769,0.189,0.769,0.787,0.0,0.129,-3.909,0.367,126.77,4,0.836,True
29,Lose You To Love Me,Selena Gomez,30,Lose You To Love Me,Rare,Selena Gomez,2020-01-10,206458,84,0.488,0.556,0.488,0.343,0.0,0.21,-8.985,0.0436,102.819,4,0.0978,False
30,Good As Hell,Lizzo,31,Good as Hell,Cuz I Love You (Super Deluxe),Lizzo,2019-04-17,159735,76,0.682,0.256,0.682,0.919,0.0,0.442,-3.18,0.0875,95.982,4,0.535,False
31,Toosie Slide,Drake,32,Toosie Slide,Toosie Slide,Drake,2020-04-03,247058,79,0.834,0.321,0.834,0.454,6.15e-06,0.114,-9.75,0.201,81.618,4,0.837,True
32,Break My Heart,Dua Lipa,33,Break My Heart,Future Nostalgia,Dua Lipa,2020-03-27,221820,82,0.73,0.167,0.73,0.729,1.39e-06,0.349,-3.434,0.0884,113.011,4,0.467,False
