,name,album,artist,release_date,duration_ms,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,explicit
0,drivers license,SOUR,Olivia Rodrigo,2021-05-21,242013,93,0.561,0.768,0.561,0.431,1.42e-05,0.106,-8.81,0.0578,143.875,4,0.137,True
1,good 4 u,SOUR,Olivia Rodrigo,2021-05-21,178146,96,0.563,0.335,0.563,0.664,0.0,0.0849,-5.044,0.154,166.928,4,0.688,True
2,Kiss Me More (feat. SZA),Planet Her,Doja Cat,2021-06-25,208666,88,0.764,0.259,0.764,0.705,8.92e-05,0.12,-3.463,0.0284,110.97,4,0.781,True
3,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06,238805,93,0.761,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4,0.531,False
4,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,2020-03-27,203064,89,0.702,0.00883,0.702,0.825,0.0,0.0674,-3.787,0.0601,102.977,4,0.915,False
5,MONTERO (Call Me By Your Name),MONTERO,Lil Nas X,2021-09-17,137704,92,0.593,0.293,0.593,0.503,0.0,0.405,-6.725,0.22,178.781,4,0.71,True
6,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,141805,93,0.591,0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,4,0.478,True
7,RAPSTAR,Hall of Fame,Polo G,2021-06-11,165925,82,0.789,0.41,0.789,0.536,0.0,0.129,-6.862,0.242,81.039,4,0.437,True
8,deja vu,SOUR,Olivia Rodrigo,2021-05-21,215506,91,0.442,0.584,0.442,0.612,5.7e-06,0.37,-7.222,0.112,180.917,4,0.178,True
9,INDUSTRY BABY (feat. Jack Harlow),MONTERO,Lil Nas X,2021-09-17,212352,92,0.741,0.0221,0.741,0.691,0.0,0.0476,-7.395,0.0672,150.087,4,0.892,True
10,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,198081,92,0.677,0.321,0.677,0.696,0.0,0.42,-6.181,0.119,90.03,4,0.464,True
11,Good Days,Good Days,SZA,2020-12-25,279204,87,0.436,0.499,0.436,0.655,8.1e-06,0.688,-8.37,0.0583,121.002,4,0.412,True
12,Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,2021-03-05,192956,87,0.578,0.0618,0.578,0.449,2.17e-06,0.119,-6.349,0.286,136.006,4,0.1,True
13,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,94,0.514,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4,0.334,False
14,Astronaut In The Ocean,Astronomical,Masked Wolf,2021-09-10,132780,78,0.778,0.175,0.778,0.695,0.0,0.15,-6.865,0.0913,149.996,4,0.472,True
15,Streets,Hot Pink,Doja Cat,2019-11-07,226986,88,0.749,0.21,0.749,0.463,0.0382,0.338,-8.433,0.0842,90.035,4,0.189,True
16,Leave The Door Open,An Evening With Silk Sonic,Bruno Mars,2021-11-11,242096,79,0.586,0.182,0.586,0.616,0.0,0.0927,-7.964,0.0324,148.088,4,0.719,False
17,traitor,SOUR,Olivia Rodrigo,2021-05-21,229226,94,0.38,0.691,0.38,0.339,0.0,0.12,-7.885,0.0338,100.607,4,0.0849,False
18,Up,Up (Instrumental),Cardi B,2021-02-04,156944,77,0.868,0.0012,0.868,0.795,0.0193,0.0461,-6.044,0.269,166.0,4,0.819,True
