,name,album,artist,release_date,duration_ms,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,explicit
19,Heartbreak Anniversary,TAKE TIME,Giveon,2020-03-27,198370,88,0.449,0.524,0.449,0.465,1.02e-06,0.303,-8.964,0.0791,89.087,3,0.543,False
20,Calling My Phone,Destined 2 Win,Lil Tjay,2021-04-02,205458,86,0.907,0.451,0.907,0.393,1.35e-06,0.135,-7.636,0.0539,104.949,4,0.202,True
21,Mood (feat. iann dior),El Dorado,24kGoldn,2021-03-26,140533,90,0.701,0.174,0.701,0.716,0.0,0.324,-3.671,0.0361,91.007,4,0.732,True
22,Save Your Tears,After Hours,The Weeknd,2020-03-20,215626,91,0.68,0.0212,0.68,0.826,1.24e-05,0.543,-5.487,0.0309,118.051,4,0.644,True
23,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,2020-12-04,160191,88,0.653,0.112,0.653,0.524,0.0,0.203,-9.016,0.0502,83.97,4,0.553,False
24,DÁKITI,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,2020-11-27,205090,87,0.731,0.401,0.731,0.573,5.22e-05,0.113,-10.059,0.0544,109.928,4,0.145,True
25,Sweater Weather,I Love You.,The Neighbourhood,2013-04-19,240400,92,0.612,0.0495,0.612,0.807,0.0177,0.101,-2.81,0.0336,124.053,4,0.398,False
26,Best Friend (feat. Doja Cat),Best Friend (feat. Doja Cat) [Remix EP] [Extended Edition],Saweetie,2021-04-23,155883,74,0.84,0.00302,0.84,0.766,3.61e-06,0.0684,-4.12,0.136,94.018,4,0.402,True
27,Need to Know,Planet Her,Doja Cat,2021-06-25,210560,94,0.664,0.304,0.664,0.609,0.0,0.0926,-6.509,0.0707,130.041,4,0.194,True
28,WITHOUT YOU,F*CK LOVE (SAVAGE),The Kid LAROI,2020-11-06,161384,87,0.662,0.213,0.662,0.413,0.0,0.134,-7.357,0.0299,93.005,4,0.467,True
29,my ex's best friend (with blackbear),Tickets To My Downfall,Machine Gun Kelly,2020-09-25,139460,85,0.731,0.00473,0.731,0.675,0.0,0.141,-5.134,0.0434,124.939,4,0.298,True
30,"Lemonade (feat. Gunna, Don Toliver & NAV)",B4 The Storm,Internet Money,2020-08-28,195428,82,0.8,0.25,0.8,0.658,0.0,0.111,-6.142,0.079,140.042,4,0.462,True
31,Martin & Gina,THE GOAT,Polo G,2020-05-15,132832,87,0.832,0.345,0.832,0.534,0.0,0.165,-7.813,0.253,93.924,4,0.116,True
32,Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,2018-12-10,239835,88,0.511,0.349,0.511,0.566,0.0,0.34,-7.23,0.2,83.903,4,0.218,True
33,All Girls Are The Same,Goodbye & Good Riddance,Juice WRLD,2018-12-10,165819,87,0.671,0.0769,0.671,0.529,0.000335,0.0856,-7.226,0.307,161.989,4,0.203,True
34,Back In Blood (feat. Lil Durk),Shiesty Season,Pooh Shiesty,2021-02-05,184489,75,0.759,0.151,0.759,0.538,0.0,0.126,-8.256,0.384,146.933,4,0.831,True
35,For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,190476,86,0.823,0.114,0.823,0.586,0.0,0.193,-6.606,0.2,125.971,4,0.347,True
36,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,Post Malone,2019-09-06,157560,83,0.755,0.533,0.755,0.522,0.0,0.0685,-4.368,0.0575,89.96,4,0.925,False
37,favorite crime,SOUR,Olivia Rodrigo,2021-05-21,152666,89,0.369,0.866,0.369,0.272,0.0,0.147,-10.497,0.0364,172.929,4,0.218,False
38,34+35,Positions,Ariana Grande,2020-10-30,173710,87,0.83,0.237,0.83,0.585,0.0,0.248,-6.476,0.094,109.978,4,0.485,True
39,Bad Habits,=,Ed Sheeran,2021-10-29,230746,96,0.807,0.0451,0.807,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,4,0.537,False
40,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,89,0.695,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4,0.553,False
41,What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,160000,86,0.709,0.65,0.709,0.548,1.59e-06,0.133,-8.493,0.353,83.995,4,0.543,True
42,No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,292986,88,0.692,0.301,0.692,0.521,0.0,0.0565,-8.465,0.33,100.45,4,0.463,True
43,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),Drake,2020-08-14,261492,85,0.761,0.244,0.761,0.518,3.47e-05,0.107,-8.871,0.134,133.976,4,0.522,True
44,Wishing Well,Legends Never Die,Juice WRLD,2020-07-10,194621,85,0.65,0.00336,0.65,0.613,0.0,0.267,-6.13,0.128,149.972,4,0.0804,True
45,positions,Positions,Ariana Grande,2020-10-30,172324,89,0.737,0.468,0.737,0.802,0.0,0.0931,-4.771,0.0878,144.015,4,0.682,True
46,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,181733,86,0.746,0.247,0.746,0.69,0.0,0.101,-7.956,0.164,89.977,4,0.497,True
47,Come & Go (with Marshmello),Legends Never Die,Juice WRLD,2020-07-10,205484,86,0.625,0.0172,0.625,0.814,0.0,0.158,-5.181,0.0657,144.991,4,0.535,True
48,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,187541,86,0.935,0.0194,0.935,0.454,0.0,0.0824,-7.509,0.375,133.073,4,0.357,True
49,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,2021-04-23,191013,92,0.65,0.0215,0.65,0.825,2.44e-05,0.0936,-4.645,0.0325,118.091,4,0.593,False
