,rank,name,album,artist,release_date,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,explicit,duration_sec
0,1,The Box,Please Excuse Me for Being Antisocial,Roddy Ricch,2019-12-06,0.896,0.104,0.586,0.0,0.79,-6.687,0.0559,116.971,0.642,True,196.652
1,2,Blinding Lights,After Hours,The Weeknd,2020-03-20,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,0.334,False,200.04
2,3,Blueberry Faygo,Certified Hitmaker,Lil Mosey,2020-02-06,0.774,0.207,0.554,0.0,0.132,-7.909,0.0383,99.034,0.349,True,162.546
3,4,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,0.746,0.247,0.69,0.0,0.101,-7.956,0.164,89.977,0.497,True,181.733
4,5,Life Is Good (feat. Drake),High Off Life,Future,2020-05-15,0.795,0.067,0.574,0.0,0.15,-6.903,0.487,142.053,0.537,True,237.918
5,6,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,0.695,0.192,0.762,0.00244,0.0863,-3.497,0.0395,120.042,0.553,False,215.28
6,7,ROXANNE,ROXANNE,Arizona Zervas,2019-10-10,0.621,0.0522,0.601,0.0,0.46,-5.616,0.148,116.735,0.457,True,163.636
7,8,Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,0.548,0.122,0.816,0.0,0.335,-4.209,0.0465,95.39,0.557,False,174.0
8,9,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,0.935,0.0194,0.454,0.0,0.0824,-7.509,0.375,133.073,0.357,True,187.541
9,10,Falling,Nicotine,Trevor Daniel,2020-03-26,0.784,0.123,0.43,0.0,0.0887,-8.756,0.0364,127.087,0.236,False,159.381
10,11,WHATS POPPIN,Sweet Action,Jack Harlow,2020-03-13,0.923,0.017,0.604,0.0,0.272,-6.671,0.245,145.062,0.826,True,139.741
11,12,Don't Start Now,Future Nostalgia,Dua Lipa,2020-03-27,0.793,0.0123,0.793,0.0,0.0951,-4.521,0.083,123.95,0.679,False,183.29
12,13,Roses - Imanbek Remix,While The World Was Burning,SAINt JHN,2020-11-20,0.769,0.0143,0.719,0.00777,0.359,-5.472,0.0474,121.955,0.863,True,176.867
13,14,Intentions (feat. Quavo),Changes,Justin Bieber,2020-02-14,0.806,0.3,0.546,0.0,0.102,-6.637,0.0575,147.986,0.874,False,212.866
14,15,Say So,Hot Pink,Doja Cat,2019-11-07,0.787,0.264,0.673,3.35e-06,0.0904,-4.583,0.159,110.962,0.779,True,237.893
15,16,Adore You,Fine Line,Harry Styles,2019-12-13,0.676,0.0237,0.771,7e-06,0.102,-3.675,0.0483,99.048,0.569,False,207.133
16,17,Toosie Slide,Dark Lane Demo Tapes,Drake,2020-05-01,0.83,0.289,0.49,3.04e-06,0.113,-8.82,0.209,81.604,0.845,True,247.058
17,18,High Fashion (feat. Mustard),Please Excuse Me for Being Antisocial,Roddy Ricch,2019-12-06,0.831,0.269,0.499,0.0,0.3,-8.442,0.114,97.956,0.511,True,220.486
18,19,death bed (coffee for your head),death bed (coffee for your head),Powfu,2020-02-08,0.726,0.731,0.431,0.0,0.696,-8.765,0.135,144.026,0.348,False,173.333
19,20,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,Post Malone,2019-09-06,0.755,0.533,0.522,0.0,0.0685,-4.368,0.0575,89.96,0.925,False,157.56
20,21,Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,2020-01-17,0.808,0.145,0.745,0.0,0.292,-5.26,0.342,165.995,0.829,True,210.8
21,22,Sunday Best,Where the Light Is,Surfaces,2019-01-06,0.878,0.183,0.525,0.0,0.0714,-6.832,0.0578,112.022,0.694,False,158.571
22,23,Ballin' (with Roddy Ricch),Perfect Ten,Mustard,2019-06-28,0.809,0.392,0.545,0.0,0.151,-6.678,0.0735,97.008,0.244,True,180.434
23,24,Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,2018-12-10,0.511,0.349,0.566,0.0,0.34,-7.23,0.2,83.903,0.218,True,239.835
24,25,Dance Monkey,Dance Monkey,Tones And I,2019-05-10,0.826,0.688,0.593,0.000161,0.17,-6.401,0.0976,98.083,0.541,False,209.754
25,26,BOP,KIRK,DaBaby,2019-09-27,0.769,0.189,0.787,0.0,0.129,-3.909,0.367,126.77,0.836,True,159.714
26,27,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,0.501,0.751,0.405,0.0,0.105,-5.679,0.0319,109.891,0.446,False,182.16
27,28,Bandit (with YoungBoy Never Broke Again),Bandit (with YoungBoy Never Broke Again),Juice WRLD,2019-10-04,0.474,0.0687,0.631,0.0,0.132,-5.884,0.343,180.051,0.425,True,189.322
28,29,THE SCOTTS,THE SCOTTS,THE SCOTTS,2020-04-24,0.716,0.233,0.537,0.0,0.157,-7.648,0.0514,129.979,0.28,True,165.977
29,30,hot girl bummer,everything means nothing,blackbear,2020-08-21,0.782,0.125,0.559,0.0,0.385,-7.106,0.0767,129.992,0.685,True,188.343
30,31,everything i wanted,everything i wanted,Billie Eilish,2019-11-13,0.704,0.902,0.225,0.657,0.106,-14.454,0.0994,120.006,0.243,False,245.425
31,32,Robbery,Death Race For Love,Juice WRLD,2019-03-08,0.685,0.328,0.692,0.0,0.153,-5.122,0.0457,159.966,0.578,True,240.05
32,33,For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,0.823,0.114,0.586,0.0,0.193,-6.606,0.2,125.971,0.347,True,190.476
33,34,Mood (feat. iann dior),Mood (feat. iann dior),24kGoldn,2020-07-24,0.7,0.221,0.722,0.0,0.272,-3.558,0.0369,90.989,0.756,True,140.525
34,35,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,2019-10-04,0.598,0.0546,0.427,5.83e-06,0.21,-8.764,0.0317,76.469,0.0605,True,175.72
35,36,Party Girl,Fallin',StaySolidRocky,2020-07-15,0.73,0.747,0.439,0.0,0.0988,-9.864,0.0609,130.09,0.615,False,147.8
36,37,All Girls Are The Same,Goodbye & Good Riddance,Juice WRLD,2018-12-10,0.671,0.0769,0.529,0.000335,0.0856,-7.226,0.307,161.989,0.203,True,165.819
37,38,Wishing Well,Legends Never Die,Juice WRLD,2020-07-10,0.65,0.00336,0.613,0.0,0.267,-6.13,0.128,149.972,0.0804,True,194.621
38,39,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2019-11-22,0.459,0.604,0.575,0.0,0.0885,-4.858,0.0573,111.881,0.183,False,215.106
39,40,Come & Go (with Marshmello),Legends Never Die,Juice WRLD,2020-07-10,0.625,0.0172,0.814,0.0,0.158,-5.181,0.0657,144.991,0.535,True,205.484
40,41,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",Jack Harlow,2020-06-24,0.904,0.0631,0.723,0.0,0.185,-5.224,0.26,145.013,0.835,True,227.478
41,42,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),Drake,2020-08-14,0.761,0.244,0.518,3.47e-05,0.107,-8.871,0.134,133.976,0.522,True,261.492
42,43,Righteous,Legends Never Die,Juice WRLD,2020-07-10,0.706,0.0417,0.625,0.0,0.129,-7.426,0.0314,142.948,0.225,True,242.18
43,44,Suicidal,Melly vs. Melvin,YNW Melly,2019-11-22,0.735,0.334,0.369,0.0,0.126,-9.682,0.0688,140.004,0.235,True,222.997
44,45,goosebumps,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,0.841,0.0847,0.728,0.0,0.149,-3.37,0.0484,130.049,0.43,True,243.836
45,46,Walk Em Down (feat. Roddy Ricch),Top Shotta,NLE Choppa,2020-08-10,0.867,0.268,0.744,0.0,0.0713,-5.171,0.227,84.005,0.645,True,173.288
46,47,After Party,Heaven Or Hell,Don Toliver,2020-03-13,0.629,0.00981,0.692,0.331,0.603,-8.045,0.0376,162.948,0.453,True,167.915
47,48,"Lemonade (feat. Gunna, Don Toliver & NAV)",B4 The Storm,Internet Money,2020-08-28,0.8,0.25,0.658,0.0,0.111,-6.142,0.079,140.042,0.462,True,195.428
48,49,If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),JP Saxe,2019-10-17,0.464,0.866,0.473,0.0,0.109,-10.086,0.129,75.801,0.604,False,208.687
49,50,SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,0.834,0.00513,0.73,0.0,0.124,-3.714,0.222,155.008,0.446,True,312.82
