,rank,name,album,artist,release_date,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,explicit,duration_sec
0,1,drivers license,SOUR,Olivia Rodrigo,2021-05-21,0.561,0.768,0.431,1.42e-05,0.106,-8.81,0.0578,143.875,0.137,True,242.013
1,2,good 4 u,SOUR,Olivia Rodrigo,2021-05-21,0.563,0.335,0.664,0.0,0.0849,-5.044,0.154,166.928,0.688,True,178.146
2,3,Kiss Me More (feat. SZA),Planet Her,Doja Cat,2021-06-25,0.764,0.259,0.705,8.92e-05,0.12,-3.463,0.0284,110.97,0.781,True,208.666
3,4,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06,0.761,0.44,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,0.531,False,238.805
4,5,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,2020-03-27,0.702,0.00883,0.825,0.0,0.0674,-3.787,0.0601,102.977,0.915,False,203.064
5,6,MONTERO (Call Me By Your Name),MONTERO,Lil Nas X,2021-09-17,0.593,0.293,0.503,0.0,0.405,-6.725,0.22,178.781,0.71,True,137.704
6,7,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,0.478,True,141.805
7,8,RAPSTAR,Hall of Fame,Polo G,2021-06-11,0.789,0.41,0.536,0.0,0.129,-6.862,0.242,81.039,0.437,True,165.925
8,9,deja vu,SOUR,Olivia Rodrigo,2021-05-21,0.442,0.584,0.612,5.7e-06,0.37,-7.222,0.112,180.917,0.178,True,215.506
9,10,INDUSTRY BABY (feat. Jack Harlow),MONTERO,Lil Nas X,2021-09-17,0.741,0.0221,0.691,0.0,0.0476,-7.395,0.0672,150.087,0.892,True,212.352
10,11,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,0.677,0.321,0.696,0.0,0.42,-6.181,0.119,90.03,0.464,True,198.081
11,12,Good Days,Good Days,SZA,2020-12-25,0.436,0.499,0.655,8.1e-06,0.688,-8.37,0.0583,121.002,0.412,True,279.204
