,Unnamed: 0,Rank,name,album,artist,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,explicit,duration_sec
8,8,9,The Bones,GIRL,Maren Morris,2019-03-08,197293,79,0.612,0.278,0.57,0.0,0.0963,-6.642,0.0347,77.004,4,0.334,False,197.293
11,11,12,I Hope (feat. Charlie Puth),Goldmine,Gabby Barrett,2020-06-19,211605,69,0.563,0.171,0.576,0.0,0.158,-6.495,0.0401,75.019,4,0.412,False,211.605
14,14,15,Savage,Suga,Megan Thee Stallion,2020-03-06,155497,76,0.843,0.0252,0.741,0.0,0.096,-5.609,0.334,168.983,4,0.68,True,155.497
22,22,23,"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)",Dan + Shay,2019-10-04,167693,82,0.654,0.153,0.63,0.0,0.111,-4.644,0.0259,89.991,4,0.43,False,167.693
27,27,28,Heartless,After Hours,The Weeknd,2020-03-20,198266,80,0.537,0.0236,0.746,1.01e-06,0.156,-5.507,0.15,170.062,4,0.252,True,198.266
29,29,30,Lose You To Love Me,Rare,Selena Gomez,2020-01-10,206458,84,0.488,0.556,0.343,0.0,0.21,-8.985,0.0436,102.819,4,0.0978,False,206.458
30,30,31,Good as Hell,Cuz I Love You (Super Deluxe),Lizzo,2019-04-17,159735,76,0.682,0.256,0.919,0.0,0.442,-3.18,0.0875,95.982,4,0.535,False,159.735
32,32,33,Break My Heart,Future Nostalgia,Dua Lipa,2020-03-27,221820,82,0.73,0.167,0.729,1.39e-06,0.349,-3.434,0.0884,113.011,4,0.467,False,221.82
33,33,34,Chasin' You,If I Know Me,Morgan Wallen,2018-04-27,205453,79,0.631,0.657,0.591,0.0,0.11,-5.785,0.0277,97.074,4,0.489,False,205.453
34,34,35,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,2020-06-11,171374,83,0.767,0.234,0.481,0.0,0.269,-8.52,0.0803,150.076,4,0.761,True,171.374
35,35,36,No Guidance (feat. Drake),Indigo,Chris Brown,2019-06-28,260640,82,0.696,0.123,0.454,0.0,0.155,-6.756,0.153,92.928,4,0.136,True,260.64
