,Rank,name,album,artist,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,explicit,duration_sec
0,1,Levitating,Future Nostalgia,Dua Lipa,2020-03-27,203807,87,0.695,0.0561,0.884,0.0,0.213,-2.278,0.0753,103.014,4,0.914,False,203.807
1,2,Save Your Tears,After Hours,The Weeknd,2020-03-20,215626,91,0.68,0.0212,0.826,1.24e-05,0.543,-5.487,0.0309,118.051,4,0.644,True,215.626
2,3,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,94,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4,0.334,False,200.04
3,4,Mood (feat. iann dior),El Dorado,24kGoldn,2021-03-26,140533,90,0.701,0.174,0.716,0.0,0.324,-3.671,0.0361,91.007,4,0.732,True,140.533
4,5,good 4 u,good 4 u,Olivia Rodrigo,2021-05-14,178147,40,0.556,0.3,0.661,0.0,0.101,-5.052,0.204,168.56,4,0.668,True,178.147
5,6,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,2021-04-09,208866,92,0.762,0.235,0.701,0.000158,0.123,-3.541,0.0286,110.968,4,0.742,True,208.866
6,7,Leave The Door Open,Leave The Door Open,Bruno Mars,2021-03-05,242096,89,0.586,0.182,0.616,0.0,0.0927,-7.964,0.0324,148.088,4,0.719,False,242.096
7,8,drivers license,drivers license,Olivia Rodrigo,2021-01-08,242013,37,0.585,0.721,0.436,1.31e-05,0.105,-8.761,0.0601,143.874,4,0.132,True,242.013
8,9,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,2021-03-31,137875,89,0.61,0.297,0.508,0.0,0.384,-6.682,0.152,178.818,4,0.758,True,137.875
9,10,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,198081,93,0.677,0.321,0.696,0.0,0.42,-6.181,0.119,90.03,4,0.464,True,198.081
10,11,Butter,Butter,BTS,2021-05-21,164441,33,0.759,0.00323,0.459,0.0,0.0906,-5.187,0.0948,109.997,4,0.695,False,164.441
11,12,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,141805,99,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,4,0.478,True,141.805
12,13,deja vu,deja vu,Olivia Rodrigo,2021-04-01,215507,34,0.439,0.593,0.61,1.07e-05,0.341,-7.236,0.116,181.088,4,0.172,True,215.507
13,14,positions,Positions,Ariana Grande,2020-10-30,172324,89,0.737,0.468,0.802,0.0,0.0931,-4.771,0.0878,144.015,4,0.682,True,172.324
14,15,Bad Habits,Bad Habits,Ed Sheeran,2021-06-25,231041,86,0.808,0.0469,0.897,3.14e-05,0.364,-3.712,0.0348,126.026,4,0.591,False,231.041
15,16,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06,238805,94,0.761,0.44,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4,0.531,False,238.805
